,carbohydrates_100g,energy_100g,fiber_100g,nutrition-score-fr_100g,proteins_100g,saturated-fat_100g,sodium_100g,sugars_100g
33845,5.75,1002.0,2.275,3.25,9.15,2.475,0.4047244094488187,2.0
33846,0.0,534.0,1.2975,1.0,14.0,3.0625,0.34173228346456697,0.1725
33847,13.0,590.0,1.0,0.0,8.8,2.77,0.28740157480315,0.9
33848,62.0,2293.0,0.0,18.0,2.3,2.5,0.826771653543307,7.0
33849,4.0,114.0,1.0,2.0,0.7,0.4,0.279527559055118,0.7
33850,50.0,1146.0,3.0,0.0,8.0,0.6,0.433070866141732,7.2
33851,3.5,670.0,0.35,10.0,8.0,9.0,0.472,3.5
33852,55.0,2190.0,1.7850000000000001,15.0,4.67,3.0,0.669,0.667
33853,25.0,718.0,5.7,-3.0,5.4,0.9,0.326771653543307,1.2
33854,15.0,431.0,1.9,2.0,3.2,1.1,0.177165354330709,13.0
33855,19.8,510.0,0.0,4.0,2.9,2.1,0.078740157480315,13.4
33856,71.0,711.0,0.0,2.0,0.0,0.0,0.0688976377952756,0.0
33857,18.2,900.0,2.0,3.0,10.4,2.7,0.590551181102362,1.3
33858,0.9,924.0,0.675,-1.0,18.0,1.0,0.196850393700787,0.0
33859,13.1,389.0,0.0,2.0,3.3,1.9,0.0590551181102362,12.8
33860,9.05,208.0,0.575,7.25,1.8,0.05,0.01771653543307085,7.65
33861,10.525,247.0,1.4,1.0,0.5,0.16,0.0,11.2
33862,0.7250000000000001,477.0,0.0,5.0,21.0,1.1,0.748031496062992,0.7
33863,10.525,276.0,1.5,0.0,0.5,0.1,0.0039370078740157,13.0
33864,5.25,222.0,2.0,0.0,0.0,0.0,0.0,10.6
33865,8.15,636.0,0.6,18.0,0.5,0.0,1.10236220472441,35.9
33866,0.1,1443.0,2.5,5.0,16.4,2.05,0.16555118110236217,1.075
33867,54.224999999999994,1510.0,2.9,-5.0,11.0,0.3,0.0039370078740157,3.2
33868,29.625,1628.0,3.4,-4.0,7.9,0.6,0.0039370078740157,0.9
33869,29.625,1552.0,3.5,-4.0,8.3,0.5,0.15748031496063,0.9
33870,10.125,1565.0,2.9,8.0,6.8,0.2,0.669291338582677,4.8
33871,22.275,1799.0,7.3,6.0,10.6,1.9,0.0511811023622047,24.8
33872,32.725,2678.0,4.0,16.0,16.0,12.0,0.0196850393700787,22.0
33873,10.1,209.0,0.0,-4.0,7.0,0.0,0.0,3.0
33874,15.15,644.0,5.9,-3.0,4.4,0.9,0.354330708661417,3.2
33875,42.275,1481.0,1.9,10.0,8.1,0.3,0.78740157480315,0.9
33876,35.175,1833.0,1.6,16.0,3.8,8.6,0.165354330708661,21.0
33877,32.875,2745.0,7.5,13.0,13.4,15.6,0.0118110236220472,2.3
33878,9.8,218.0,3.8,-4.0,0.6,0.0,0.0,6.8
33879,10.524999999999999,1000.0,0.0,11.0,14.6,3.6,0.610236220472441,3.8
33880,35.75,1828.0,1.7,14.0,5.8,5.6,0.068503937007874,30.2
33881,9.4,686.0,0.0,10.0,0.7,0.001,0.0009055118110236,38.2
33882,20.0,567.0,1.335,0.0,4.0,1.0,0.118110236220472,3.0
